Ref,Val,Package,PosX,PosY,Rot,Side
"C1101","100n","C_0805_2012Metric",69.4000,-5.3750,0.0000,bottom
"C1102","100n","C_0805_2012Metric",65.2875,-5.9250,90.0000,bottom
"D1101","STATUS","LED_ASMB-KTF0-0A306",90.9000,16.5750,-90.0000,top
"IC1101","PCAL6416AHF","HVQFN-24-1EP_4x4mm_P0.5mm_EP2.1x2.1mm",65.5375,-11.0250,180.0000,bottom
"Q1401","NPN","SOT-23",45.2375,-13.9250,180.0000,bottom
"R1101","100k","R_0805_2012Metric",69.4000,-7.3750,0.0000,bottom
"R1103","1k3","R_0805_2012Metric",91.9000,10.6750,-90.0000,top
"R1104","330R","R_0805_2012Metric",89.9000,11.6750,-90.0000,top
"R1105","470R","R_0805_2012Metric",90.3000,20.7750,90.0000,top
"R1401","10k","R_0805_2012Metric",65.8000,28.6750,180.0000,top
"R1402","10k","R_0805_2012Metric",40.5000,28.7750,180.0000,top
"R1403","10k","R_0805_2012Metric",69.3875,28.6750,180.0000,top
"R1404","10R","R_0805_2012Metric",41.2000,-13.9250,180.0000,bottom
"R1405","100k","R_0805_2012Metric",48.3000,-13.9250,90.0000,bottom
"R1406","100R","R_0805_2012Metric",51.2000,-13.0125,180.0000,bottom
"R1408","10k","R_0805_2012Metric",44.1875,26.3750,180.0000,top
"R1409","3k3","R_0805_2012Metric",58.9000,16.0750,90.0000,bottom
"R1410","3k3","R_0805_2012Metric",58.9000,11.0875,-90.0000,bottom
"R1411","10k","R_0805_2012Metric",69.0000,-1.5250,0.0000,bottom
"REF**","LCD","LCD-320x240",48.4000,0.0750,0.0000,top
"S1101","JS1400","JS1400BVQ",95.4000,-23.4250,-45.0000,top
"SW1101","Button 1","WS-TASV-6x6",28.4500,-33.0250,0.0000,top
"SW1102","Button 2","WS-TASV-6x6",43.9500,-33.0250,0.0000,top
"SW1103","Button 3","WS-TASV-6x6",59.4500,-33.0250,0.0000,top
"SW1104","Button 4","WS-TASV-6x6",74.9500,-33.0250,0.0000,top
"X1401","Touch","Amphenol_F32R-1A7x1-11006_1x06-1MP_P0.5mm_Horizontal",22.4000,14.0750,90.0000,bottom
"X1402","Display","TE_1-84952-8_1x18-1MP_P1.0mm_Horizontal",35.9000,-11.4250,90.0000,bottom
"X1403","External","PinHeader_1x14_P2.54mm_Vertical",36.9000,31.5750,-90.0000,bottom
